customer_id,segment,plan,region,has_credit_card,is_plan_mismatch,total_revenue,total_paid,avg_monthly_bill,bill_std,total_gst,total_hours,avg_monthly_hours,hours_included,total_excess_hours,pct_months_over,avg_efficiency_score,total_discount,avg_discount_pct,total_overage,tenure_months,hours_utilization,revenue_per_month
1,moderate,standard,north,False,False,33310.64046912077,39306.55575356251,655.1092625593752,90.98895099812886,5995.915284441739,7450.3321535419955,124.17220255903325,200,1010.6228118920899,0.25,86.77868507150485,5037.59,0.14016666666666666,2408.2304691207696,60,0.6208610127951663,555.1773411520129
2,heavy,premium,south,True,False,44088.82,52024.8076,867.0801266666666,32.98005139721079,7935.9875999999995,18061.19854601156,301.0199757668594,350,1723.8888649017367,0.31666666666666665,74.5124154255368,3851.18,0.08033333333333334,0.0,60,0.8600570736195982,734.8136666666667
3,moderate,premium,west,True,True,44592.189999999995,52618.7842,876.9797366666667,29.99051227439548,8026.5942,9099.24527160659,151.65408786010985,350,26.16552847548047,0.016666666666666666,72.46316288157037,3347.81,0.06983333333333334,0.0,60,0.4332973938860281,743.2031666666666
4,moderate,standard,west,False,False,37027.00320127387,43691.86377750316,728.1977296250527,84.7156432281458,6664.860576229296,7791.773576557023,129.86289294261707,200,607.7851370928299,0.23333333333333334,59.89446201849582,808.6500000000001,0.022500000000000003,1895.6532012738696,60,0.6493144647130853,617.1167200212311
5,light,lite,west,True,False,27331.143789598525,32250.749671726262,537.5124945287711,72.81187858708756,4919.605882127735,4609.769166576934,76.82948610961557,100,663.086767939728,0.2833333333333333,70.55847611321138,1647.8300000000002,0.06116666666666667,2038.9737895985268,60,0.7682948610961557,455.5190631599754
6,light,lite,west,True,False,23381.541367913447,27590.21881413787,459.83698023563113,61.38405112511621,4208.67744622442,3989.198439555439,66.48664065925732,100,285.1521843125703,0.23333333333333334,94.64745282401624,4992.88,0.18533333333333335,1434.4213679134473,60,0.6648664065925732,389.6923561318908
7,light,lite,west,True,False,26562.33487856868,31343.55515671104,522.392585945184,54.193321406396365,4781.220278142362,3736.1963076936613,62.26993846156102,100,230.82493074472183,0.18333333333333332,67.87659517761507,1414.3500000000001,0.0525,1036.684878568679,60,0.6226993846156103,442.70558130947796
8,heavy,premium,west,False,False,44704.049999999996,52750.779,879.17965,28.818878898215306,8046.728999999999,13915.639159546923,231.92731932578207,350,1137.3264183825268,0.2,72.38103347492849,3235.9500000000003,0.06749999999999999,0.0,60,0.6626494837879487,745.0674999999999
9,moderate,standard,north,True,False,33259.92542277113,39246.711998869934,654.1118666478322,100.89676838083929,5986.7865760988025,8118.108945999887,135.3018157666648,200,1468.3279119766148,0.25,88.73154257700065,5462.88,0.15200000000000002,2782.805422771128,60,0.6765090788333239,554.3320903795188
10,moderate,standard,south,True,False,36380.135870132974,42928.56032675691,715.4760054459485,99.50866415678256,6548.424456623935,10508.8380736056,175.14730122676002,200,1182.250551857248,0.38333333333333336,73.61316818763262,2803.32,0.078,3243.455870132978,60,0.8757365061338,606.3355978355496
11,light,lite,north,True,False,28082.789354343495,33137.69143812532,552.2948573020888,67.14520900690785,5054.902083781829,3657.3158232125757,60.955263720209594,100,532.4205852627905,0.23333333333333334,59.48064924820638,561.2500000000001,0.020833333333333332,1704.0393543434955,60,0.609552637202096,468.04648923905825
12,heavy,premium,east,False,False,46861.35,55296.393,921.60655,23.650265033398647,8435.043,18938.411468680904,315.64019114468175,350,4343.229780150755,0.48333333333333334,59.812791343231886,1078.65,0.022500000000000003,0.0,60,0.9018291175562335,781.0224999999999
13,heavy,premium,east,False,False,47620.4,56192.072,936.5345333333333,16.160091864425365,8571.671999999999,14590.696702312787,243.1782783718798,350,1684.9103090670699,0.25,55.352617142301554,319.6,0.006666666666666667,0.0,60,0.6947950810625136,793.6733333333334
14,light,lite,north,False,False,24534.947110806123,28951.237590751225,482.52062651252044,70.40599501259281,4416.290479945102,3535.2769912700296,58.92128318783383,100,444.66155229705697,0.25,90.05269792886311,4238.56,0.15733333333333333,1833.5071108061222,60,0.5892128318783383,408.91578518010203
